experiment,group_type,group_value,metric,aggregation,repeat_index,value,numerator,denominator,notes
ablation_trigger,variant,freeform_only,ambiguity_handling_rate,repeat,1,0.000000,0,9,
ablation_trigger,variant,freeform_only,ambiguity_handling_rate,repeat,2,0.000000,0,9,
ablation_trigger,variant,freeform_only,ambiguity_handling_rate,repeat,3,0.000000,0,9,
ablation_trigger,variant,freeform_only,ambiguity_handling_rate,mean,,0.000000,,,
ablation_trigger,variant,freeform_only,ambiguity_handling_rate,std,,0.000000,,,
ablation_trigger,variant,freeform_only,f1,repeat,1,0.750000,15,36,
ablation_trigger,variant,freeform_only,f1,repeat,2,0.750000,15,36,
ablation_trigger,variant,freeform_only,f1,repeat,3,0.750000,15,36,
ablation_trigger,variant,freeform_only,f1,mean,,0.750000,,,
ablation_trigger,variant,freeform_only,f1,std,,0.000000,,,
ablation_trigger,variant,freeform_only,false_trigger_rate,repeat,1,0.166667,2,12,
ablation_trigger,variant,freeform_only,false_trigger_rate,repeat,2,0.166667,2,12,
ablation_trigger,variant,freeform_only,false_trigger_rate,repeat,3,0.166667,2,12,
ablation_trigger,variant,freeform_only,false_trigger_rate,mean,,0.166667,,,
ablation_trigger,variant,freeform_only,false_trigger_rate,std,,0.000000,,,
ablation_trigger,variant,freeform_only,precision,repeat,1,0.600000,15,25,
ablation_trigger,variant,freeform_only,precision,repeat,2,0.600000,15,25,
ablation_trigger,variant,freeform_only,precision,repeat,3,0.600000,15,25,
ablation_trigger,variant,freeform_only,precision,mean,,0.600000,,,
ablation_trigger,variant,freeform_only,precision,std,,0.000000,,,
ablation_trigger,variant,freeform_only,recall,repeat,1,1.000000,15,15,
ablation_trigger,variant,freeform_only,recall,repeat,2,1.000000,15,15,
ablation_trigger,variant,freeform_only,recall,repeat,3,1.000000,15,15,
ablation_trigger,variant,freeform_only,recall,mean,,1.000000,,,
ablation_trigger,variant,freeform_only,recall,std,,0.000000,,,
ablation_trigger,variant,freeform_only,skill_routing_accuracy,repeat,1,1.000000,15,15,
ablation_trigger,variant,freeform_only,skill_routing_accuracy,repeat,2,1.000000,15,15,
ablation_trigger,variant,freeform_only,skill_routing_accuracy,repeat,3,1.000000,15,15,
