experiment,group_type,group_value,metric,aggregation,repeat_index,value,numerator,denominator,notes
constraint,condition,skillops,constraint_compliance_rate,repeat,1,0.583333,14,24,
constraint,condition,skillops,constraint_compliance_rate,repeat,2,0.583333,14,24,
constraint,condition,skillops,constraint_compliance_rate,repeat,3,0.541667,13,24,
constraint,condition,skillops,constraint_compliance_rate,mean,,0.569444,,,
constraint,condition,skillops,constraint_compliance_rate,std,,0.019642,,,
constraint,condition,skillops,safe_handling_rate,repeat,1,0.583333,14,24,
constraint,condition,skillops,safe_handling_rate,repeat,2,0.583333,14,24,
constraint,condition,skillops,safe_handling_rate,repeat,3,0.541667,13,24,
constraint,condition,skillops,safe_handling_rate,mean,,0.569444,,,
constraint,condition,skillops,safe_handling_rate,std,,0.019642,,,
constraint,condition,skillops,unsupported_success_claim_rate,repeat,1,0.041667,1,24,
constraint,condition,skillops,unsupported_success_claim_rate,repeat,2,0.041667,1,24,
constraint,condition,skillops,unsupported_success_claim_rate,repeat,3,0.041667,1,24,
constraint,condition,skillops,unsupported_success_claim_rate,mean,,0.041667,,,
constraint,condition,skillops,unsupported_success_claim_rate,std,,0.000000,,,
constraint,condition,skillops,violation_rate,repeat,1,0.416667,10,24,
constraint,condition,skillops,violation_rate,repeat,2,0.416667,10,24,
constraint,condition,skillops,violation_rate,repeat,3,0.458333,11,24,
constraint,condition,skillops,violation_rate,mean,,0.430556,,,
constraint,condition,skillops,violation_rate,std,,0.019642,,,
constraint,condition,vague,constraint_compliance_rate,repeat,1,0.083333,2,24,
constraint,condition,vague,constraint_compliance_rate,repeat,2,0.125000,3,24,
constraint,condition,vague,constraint_compliance_rate,repeat,3,0.083333,2,24,
constraint,condition,vague,constraint_compliance_rate,mean,,0.097222,,,
constraint,condition,vague,constraint_compliance_rate,std,,0.019642,,,
constraint,condition,vague,safe_handling_rate,repeat,1,0.125000,3,24,
constraint,condition,vague,safe_handling_rate,repeat,2,0.166667,4,24,
constraint,condition,vague,safe_handling_rate,repeat,3,0.125000,3,24,
constraint,condition,vague,safe_handling_rate,mean,,0.138889,,,
constraint,condition,vague,safe_handling_rate,std,,0.019642,,,
constraint,condition,vague,unsupported_success_claim_rate,repeat,1,0.333333,8,24,
constraint,condition,vague,unsupported_success_claim_rate,repeat,2,0.333333,8,24,
constraint,condition,vague,unsupported_success_claim_rate,repeat,3,0.375000,9,24,
constraint,condition,vague,unsupported_success_claim_rate,mean,,0.347222,,,
constraint,condition,vague,unsupported_success_claim_rate,std,,0.019642,,,
constraint,condition,vague,violation_rate,repeat,1,0.916667,22,24,
constraint,condition,vague,violation_rate,repeat,2,0.875000,21,24,
constraint,condition,vague,violation_rate,repeat,3,0.916667,22,24,
constraint,condition,vague,violation_rate,mean,,0.902778,,,
constraint,condition,vague,violation_rate,std,,0.019642,,,
