experiment,group_type,group_value,metric,aggregation,repeat_index,value,numerator,denominator,notes
memory,condition,current_context_only,conflict_resolution_success_rate,repeat,1,0.000000,0,22,
memory,condition,current_context_only,conflict_resolution_success_rate,repeat,2,0.000000,0,22,
memory,condition,current_context_only,conflict_resolution_success_rate,repeat,3,0.000000,0,22,
memory,condition,current_context_only,conflict_resolution_success_rate,mean,,0.000000,,,
memory,condition,current_context_only,conflict_resolution_success_rate,std,,0.000000,,,
memory,condition,current_context_only,correct_forgetting_rate,repeat,1,0.000000,0,22,
memory,condition,current_context_only,correct_forgetting_rate,repeat,2,0.000000,0,22,
memory,condition,current_context_only,correct_forgetting_rate,repeat,3,0.000000,0,22,
memory,condition,current_context_only,correct_forgetting_rate,mean,,0.000000,,,
memory,condition,current_context_only,correct_forgetting_rate,std,,0.000000,,,
memory,condition,current_context_only,current_instruction_adherence_rate,repeat,1,1.000000,22,22,
memory,condition,current_context_only,current_instruction_adherence_rate,repeat,2,1.000000,22,22,
memory,condition,current_context_only,current_instruction_adherence_rate,repeat,3,1.000000,22,22,
memory,condition,current_context_only,current_instruction_adherence_rate,mean,,1.000000,,,
memory,condition,current_context_only,current_instruction_adherence_rate,std,,0.000000,,,
memory,condition,current_context_only,stale_info_usage_rate,repeat,1,0.000000,0,22,
memory,condition,current_context_only,stale_info_usage_rate,repeat,2,0.000000,0,22,
memory,condition,current_context_only,stale_info_usage_rate,repeat,3,0.000000,0,22,
memory,condition,current_context_only,stale_info_usage_rate,mean,,0.000000,,,
memory,condition,current_context_only,stale_info_usage_rate,std,,0.000000,,,
memory,condition,current_context_only,unsupported_memory_claim_rate,repeat,1,0.000000,0,22,
memory,condition,current_context_only,unsupported_memory_claim_rate,repeat,2,0.000000,0,22,
memory,condition,current_context_only,unsupported_memory_claim_rate,repeat,3,0.000000,0,22,
memory,condition,current_context_only,unsupported_memory_claim_rate,mean,,0.000000,,,
memory,condition,current_context_only,unsupported_memory_claim_rate,std,,0.000000,,,
memory,condition,full_skillops_memory_policy,conflict_resolution_success_rate,repeat,1,1.000000,22,22,
memory,condition,full_skillops_memory_policy,conflict_resolution_success_rate,repeat,2,1.000000,22,22,
memory,condition,full_skillops_memory_policy,conflict_resolution_success_rate,repeat,3,1.000000,22,22,
memory,condition,full_skillops_memory_policy,conflict_resolution_success_rate,mean,,1.000000,,,
memory,condition,full_skillops_memory_policy,conflict_resolution_success_rate,std,,0.000000,,,
memory,condition,full_skillops_memory_policy,correct_forgetting_rate,repeat,1,1.000000,22,22,
