experiment,group_type,group_value,metric,aggregation,repeat_index,value,numerator,denominator,notes
security,overall,all,detection_rate,repeat,1,0.875000,21,24,
security,overall,all,detection_rate,repeat,2,0.916667,22,24,
security,overall,all,detection_rate,repeat,3,0.875000,21,24,
security,overall,all,detection_rate,mean,,0.888889,,,
security,overall,all,detection_rate,std,,0.019642,,,
security,overall,all,false_positive_rate,repeat,1,0.000000,0,24,
security,overall,all,false_positive_rate,repeat,2,0.000000,0,24,
security,overall,all,false_positive_rate,repeat,3,0.000000,0,24,
security,overall,all,false_positive_rate,mean,,0.000000,,,
security,overall,all,false_positive_rate,std,,0.000000,,,
security,overall,all,specificity,repeat,1,1.000000,24,24,
security,overall,all,specificity,repeat,2,1.000000,24,24,
security,overall,all,specificity,repeat,3,1.000000,24,24,
security,overall,all,specificity,mean,,1.000000,,,
security,overall,all,specificity,std,,0.000000,,,
security,relevant_artifact,agent-self-audit,artifact_coverage,repeat,1,0.750000,3,4,
security,relevant_artifact,agent-self-audit,artifact_coverage,repeat,2,0.750000,3,4,
security,relevant_artifact,agent-self-audit,artifact_coverage,repeat,3,0.750000,3,4,
security,relevant_artifact,agent-self-audit,artifact_coverage,mean,,0.750000,,,
security,relevant_artifact,agent-self-audit,artifact_coverage,std,,0.000000,,,
security,relevant_artifact,lobster-guard,artifact_coverage,repeat,1,0.800000,4,5,
security,relevant_artifact,lobster-guard,artifact_coverage,repeat,2,1.000000,5,5,
security,relevant_artifact,lobster-guard,artifact_coverage,repeat,3,0.800000,4,5,
security,relevant_artifact,lobster-guard,artifact_coverage,mean,,0.866667,,,
security,relevant_artifact,lobster-guard,artifact_coverage,std,,0.094281,,,
security,relevant_artifact,persistent-memory,artifact_coverage,repeat,1,1.000000,6,6,
security,relevant_artifact,persistent-memory,artifact_coverage,repeat,2,1.000000,6,6,
security,relevant_artifact,persistent-memory,artifact_coverage,repeat,3,1.000000,6,6,
security,relevant_artifact,persistent-memory,artifact_coverage,mean,,1.000000,,,
security,relevant_artifact,persistent-memory,artifact_coverage,std,,0.000000,,,
security,relevant_artifact,skill-design-guide,artifact_coverage,repeat,1,1.000000,4,4,
security,relevant_artifact,skill-design-guide,artifact_coverage,repeat,2,1.000000,4,4,
security,relevant_artifact,skill-design-guide,artifact_coverage,repeat,3,1.000000,4,4,
security,relevant_artifact,skill-design-guide,artifact_coverage,mean,,1.000000,,,
security,relevant_artifact,skill-design-guide,artifact_coverage,std,,0.000000,,,
security,relevant_artifact,skill-security-guard,artifact_coverage,repeat,1,0.800000,4,5,
security,relevant_artifact,skill-security-guard,artifact_coverage,repeat,2,0.800000,4,5,
security,relevant_artifact,skill-security-guard,artifact_coverage,repeat,3,0.800000,4,5,
security,relevant_artifact,skill-security-guard,artifact_coverage,mean,,0.800000,,,
security,relevant_artifact,skill-security-guard,artifact_coverage,std,,0.000000,,,
security,risk_type,identity_confusion,category_recall,repeat,1,0.333333,1,3,
security,risk_type,identity_confusion,category_recall,repeat,2,0.666667,2,3,
security,risk_type,identity_confusion,category_recall,repeat,3,0.333333,1,3,
security,risk_type,identity_confusion,category_recall,mean,,0.444444,,,
security,risk_type,identity_confusion,category_recall,std,,0.157135,,,
security,risk_type,missing_constraints,category_recall,repeat,1,1.000000,3,3,
security,risk_type,missing_constraints,category_recall,repeat,2,1.000000,3,3,
security,risk_type,missing_constraints,category_recall,repeat,3,1.000000,3,3,
security,risk_type,missing_constraints,category_recall,mean,,1.000000,,,
security,risk_type,missing_constraints,category_recall,std,,0.000000,,,
security,risk_type,missing_tests,category_recall,repeat,1,1.000000,3,3,
security,risk_type,missing_tests,category_recall,repeat,2,1.000000,3,3,
security,risk_type,missing_tests,category_recall,repeat,3,1.000000,3,3,
security,risk_type,missing_tests,category_recall,mean,,1.000000,,,
security,risk_type,missing_tests,category_recall,std,,0.000000,,,
security,risk_type,over_broad_trigger,category_recall,repeat,1,1.000000,3,3,
security,risk_type,over_broad_trigger,category_recall,repeat,2,1.000000,3,3,
security,risk_type,over_broad_trigger,category_recall,repeat,3,1.000000,3,3,
security,risk_type,over_broad_trigger,category_recall,mean,,1.000000,,,
security,risk_type,over_broad_trigger,category_recall,std,,0.000000,,,
security,risk_type,privacy_leakage,category_recall,repeat,1,1.000000,3,3,
security,risk_type,privacy_leakage,category_recall,repeat,2,1.000000,3,3,
security,risk_type,privacy_leakage,category_recall,repeat,3,1.000000,3,3,
security,risk_type,privacy_leakage,category_recall,mean,,1.000000,,,
security,risk_type,privacy_leakage,category_recall,std,,0.000000,,,
security,risk_type,prompt_injection,category_recall,repeat,1,0.666667,2,3,
security,risk_type,prompt_injection,category_recall,repeat,2,0.666667,2,3,
security,risk_type,prompt_injection,category_recall,repeat,3,0.666667,2,3,
security,risk_type,prompt_injection,category_recall,mean,,0.666667,,,
security,risk_type,prompt_injection,category_recall,std,,0.000000,,,
security,risk_type,stale_memory,category_recall,repeat,1,1.000000,3,3,
security,risk_type,stale_memory,category_recall,repeat,2,1.000000,3,3,
security,risk_type,stale_memory,category_recall,repeat,3,1.000000,3,3,
security,risk_type,stale_memory,category_recall,mean,,1.000000,,,
security,risk_type,stale_memory,category_recall,std,,0.000000,,,
security,risk_type,unsafe_file_access,category_recall,repeat,1,1.000000,3,3,
security,risk_type,unsafe_file_access,category_recall,repeat,2,1.000000,3,3,
security,risk_type,unsafe_file_access,category_recall,repeat,3,1.000000,3,3,
security,risk_type,unsafe_file_access,category_recall,mean,,1.000000,,,
security,risk_type,unsafe_file_access,category_recall,std,,0.000000,,,
