experiment,group_type,group_value,metric,aggregation,repeat_index,value,numerator,denominator,notes
trigger,condition,freeform,ambiguity_handling_rate,repeat,1,0.333333,3,9,
trigger,condition,freeform,ambiguity_handling_rate,repeat,2,0.333333,3,9,
trigger,condition,freeform,ambiguity_handling_rate,repeat,3,0.333333,3,9,
trigger,condition,freeform,ambiguity_handling_rate,mean,,0.333333,,,
trigger,condition,freeform,ambiguity_handling_rate,std,,0.000000,,,
trigger,condition,freeform,f1,repeat,1,0.812500,13,36,
trigger,condition,freeform,f1,repeat,2,0.812500,13,36,
trigger,condition,freeform,f1,repeat,3,0.812500,13,36,
trigger,condition,freeform,f1,mean,,0.812500,,,
trigger,condition,freeform,f1,std,,0.000000,,,
trigger,condition,freeform,false_trigger_rate,repeat,1,0.000000,0,12,
trigger,condition,freeform,false_trigger_rate,repeat,2,0.000000,0,12,
trigger,condition,freeform,false_trigger_rate,repeat,3,0.000000,0,12,
trigger,condition,freeform,false_trigger_rate,mean,,0.000000,,,
trigger,condition,freeform,false_trigger_rate,std,,0.000000,,,
trigger,condition,freeform,precision,repeat,1,0.764706,13,17,
trigger,condition,freeform,precision,repeat,2,0.764706,13,17,
trigger,condition,freeform,precision,repeat,3,0.764706,13,17,
trigger,condition,freeform,precision,mean,,0.764706,,,
trigger,condition,freeform,precision,std,,0.000000,,,
trigger,condition,freeform,recall,repeat,1,0.866667,13,15,
trigger,condition,freeform,recall,repeat,2,0.866667,13,15,
trigger,condition,freeform,recall,repeat,3,0.866667,13,15,
trigger,condition,freeform,recall,mean,,0.866667,,,
trigger,condition,freeform,recall,std,,0.000000,,,
trigger,condition,skillops,ambiguity_handling_rate,repeat,1,0.222222,2,9,
trigger,condition,skillops,ambiguity_handling_rate,repeat,2,0.222222,2,9,
trigger,condition,skillops,ambiguity_handling_rate,repeat,3,0.222222,2,9,
trigger,condition,skillops,ambiguity_handling_rate,mean,,0.222222,,,
trigger,condition,skillops,ambiguity_handling_rate,std,,0.000000,,,
trigger,condition,skillops,f1,repeat,1,0.800000,14,36,
trigger,condition,skillops,f1,repeat,2,0.800000,14,36,
trigger,condition,skillops,f1,repeat,3,0.800000,14,36,
trigger,condition,skillops,f1,mean,,0.800000,,,
trigger,condition,skillops,f1,std,,0.000000,,,
trigger,condition,skillops,false_trigger_rate,repeat,1,0.000000,0,12,
trigger,condition,skillops,false_trigger_rate,repeat,2,0.000000,0,12,
trigger,condition,skillops,false_trigger_rate,repeat,3,0.000000,0,12,
trigger,condition,skillops,false_trigger_rate,mean,,0.000000,,,
trigger,condition,skillops,false_trigger_rate,std,,0.000000,,,
trigger,condition,skillops,precision,repeat,1,0.700000,14,20,
trigger,condition,skillops,precision,repeat,2,0.700000,14,20,
trigger,condition,skillops,precision,repeat,3,0.700000,14,20,
trigger,condition,skillops,precision,mean,,0.700000,,,
trigger,condition,skillops,precision,std,,0.000000,,,
trigger,condition,skillops,recall,repeat,1,0.933333,14,15,
trigger,condition,skillops,recall,repeat,2,0.933333,14,15,
trigger,condition,skillops,recall,repeat,3,0.933333,14,15,
trigger,condition,skillops,recall,mean,,0.933333,,,
trigger,condition,skillops,recall,std,,0.000000,,,
