artifact_id,study_family,source_id,source_owner,ecosystem,artifact_reference,random_seed,random_key,pilot_status,selection_reason
ext-art-070,agent_skills,voltagent-awesome,eronred,community-index,upstream:https://github.com/Eronred/aso-skills,20260625,0c4a4cc2538cbe48-b7bc,selected_pending_annotation,first_seeded_within_cap_row_per_family
ext-art-079,agent_skills,voltagent-awesome,mohamedabdallah-14,community-index,upstream:https://github.com/MohamedAbdallah-14/unslop,20260625,1a54112cd8a635b2-819a,selected_pending_annotation,first_seeded_within_cap_row_per_family
ext-art-073,agent_skills,voltagent-awesome,heshamfs,community-index,upstream:https://github.com/HeshamFS/materials-simulation-skills,20260625,215c053b9575888a-f1b4,selected_pending_annotation,first_seeded_within_cap_row_per_family
ext-art-080,agent_skills,voltagent-awesome,nvidia,community-index,upstream:https://github.com/NVIDIA/skills,20260625,2f08bf2c57ceea92-e103,selected_pending_annotation,first_seeded_within_cap_row_per_family
ext-art-067,agent_skills,voltagent-awesome,cosmoblk,community-index,upstream:https://github.com/CosmoBlk/email-marketing-bible,20260625,414aaa0baa4c0e8f-9e98,selected_pending_annotation,first_seeded_within_cap_row_per_family
ext-art-063,agent_skills,voltagent-awesome,behisecc,community-index,upstream:https://github.com/BehiSecc/VibeSec-Skill,20260625,5d02d08e96fa8354-1eb8,selected_pending_annotation,first_seeded_within_cap_row_per_family
ext-art-187,agent_workflow_templates,langgraph-template,langchain-ai,langchain,src/retrieval_graph/index_graph.py,20260625,080c8901924fccce-d516,selected_pending_annotation,first_seeded_within_cap_row_per_family
ext-art-170,agent_workflow_templates,autogen-examples,microsoft,microsoft,python/packages/agbench,20260625,08abff81a57103c2-f746,selected_pending_annotation,first_seeded_within_cap_row_per_family
ext-art-154,agent_workflow_templates,openai-agents-python,openai,openai,.agents/references,20260625,0ae34c0a111b7074-a754,selected_pending_annotation,first_seeded_within_cap_row_per_family
ext-art-155,agent_workflow_templates,openai-agents-js,openai,openai,.agents/skills/changeset-validation,20260625,174bbbd39b54645e-aa7e,selected_pending_annotation,first_seeded_within_cap_row_per_family
ext-art-172,agent_workflow_templates,autogen-examples,microsoft,microsoft,python/packages/autogen-core,20260625,1ab61f4034d38422-7f2d,selected_pending_annotation,first_seeded_within_cap_row_per_family
ext-art-184,agent_workflow_templates,langgraph-template,langchain-ai,langchain,src/retrieval_graph/__init__.py,20260625,1e33d53b0c695224-0950,selected_pending_annotation,first_seeded_within_cap_row_per_family
ext-art-139,mcp_and_tool_recipes,github-mcp-server,github,github,docs/installation-guides/install-antigravity.md,20260625,13e9c1cce24eaf9f-833d,selected_pending_annotation,first_seeded_within_cap_row_per_family
ext-art-122,mcp_and_tool_recipes,github-mcp-server,github,github,cmd/mcpcurl,20260625,2ed3eb0fe09fc699-ffe7,selected_pending_annotation,first_seeded_within_cap_row_per_family
ext-art-137,mcp_and_tool_recipes,github-mcp-server,github,github,docs/host-integration.md,20260625,38ae84c913378e38-2b03,selected_pending_annotation,first_seeded_within_cap_row_per_family
ext-art-124,mcp_and_tool_recipes,github-mcp-server,github,github,e2e,20260625,5492ff7e57b9ac8b-f146,selected_pending_annotation,first_seeded_within_cap_row_per_family
ext-art-130,mcp_and_tool_recipes,github-mcp-server,github,github,ui/src/components/FeedbackFooter.tsx,20260625,66750c9df9c86ca9-c1d0,selected_pending_annotation,first_seeded_within_cap_row_per_family
ext-art-131,mcp_and_tool_recipes,github-mcp-server,github,github,ui/src/components/MarkdownEditor.tsx,20260625,6f54f2f6522df189-5659,selected_pending_annotation,first_seeded_within_cap_row_per_family
ext-art-216,prompt_and_function_recipes,open-webui-functions,owndev,open-webui,pipelines/azure/azure_ai_foundry.py,20260625,020564073ff684b1-209e,selected_pending_annotation,first_seeded_within_cap_row_per_family
ext-art-228,prompt_and_function_recipes,open-webui-functions,owndev,open-webui,docs/n8n-tool-usage-display.md,20260625,146a687f16d44809-55fb,selected_pending_annotation,first_seeded_within_cap_row_per_family
ext-art-232,prompt_and_function_recipes,open-webui-functions,owndev,open-webui,filters/vertex_ai_search_tool.py,20260625,14df3727a9811746-6c10,selected_pending_annotation,first_seeded_within_cap_row_per_family
ext-art-234,prompt_and_function_recipes,open-webui-functions,owndev,open-webui,pending:open-webui-functions:019,20260625,1644eaddd4fe3c7d-b0b7,selected_pending_annotation,first_seeded_within_cap_row_per_family
ext-art-203,prompt_and_function_recipes,prompts-chat,f,prompt-corpus,packages/prompts.chat/src/__tests__/similarity.test.ts,20260625,2b4455f6665e535d-3459,selected_pending_annotation,first_seeded_within_cap_row_per_family
ext-art-225,prompt_and_function_recipes,open-webui-functions,owndev,open-webui,docs/google-gemini-integration.md,20260625,2b7a239258207041-1f1c,selected_pending_annotation,first_seeded_within_cap_row_per_family
