experiment,provider,model,dimension_type,dimension_value,metric,value,numerator,denominator,notes,raw_output_file
constraint_compliance_rate,deepseek,deepseek-v4-flash,prompt_variant,skillops,violation_rate,0.708333,17,24,,results\experiments\raw\constraint_20260625T051633Z.jsonl
constraint_compliance_rate,deepseek,deepseek-v4-flash,prompt_variant,skillops,safe_handling_rate,0.291667,7,24,,results\experiments\raw\constraint_20260625T051633Z.jsonl
constraint_compliance_rate,deepseek,deepseek-v4-flash,prompt_variant,skillops,unsupported_success_claim_rate,0.041667,1,24,,results\experiments\raw\constraint_20260625T051633Z.jsonl
constraint_compliance_rate,deepseek,deepseek-v4-flash,prompt_variant,skillops,constraint_compliance_rate,0.291667,7,24,,results\experiments\raw\constraint_20260625T051633Z.jsonl
constraint_compliance_rate,deepseek,deepseek-v4-flash,prompt_variant,vague,violation_rate,0.875000,21,24,,results\experiments\raw\constraint_20260625T051633Z.jsonl
constraint_compliance_rate,deepseek,deepseek-v4-flash,prompt_variant,vague,safe_handling_rate,0.166667,4,24,,results\experiments\raw\constraint_20260625T051633Z.jsonl
constraint_compliance_rate,deepseek,deepseek-v4-flash,prompt_variant,vague,unsupported_success_claim_rate,0.166667,4,24,,results\experiments\raw\constraint_20260625T051633Z.jsonl
constraint_compliance_rate,deepseek,deepseek-v4-flash,prompt_variant,vague,constraint_compliance_rate,0.125000,3,24,,results\experiments\raw\constraint_20260625T051633Z.jsonl
constraint_compliance_rate,kimi,kimi-k2.7-code,prompt_variant,skillops,violation_rate,0.541667,13,24,,results\experiments\raw\constraint_20260625T060926Z.jsonl
constraint_compliance_rate,kimi,kimi-k2.7-code,prompt_variant,skillops,safe_handling_rate,0.500000,12,24,,results\experiments\raw\constraint_20260625T060926Z.jsonl
constraint_compliance_rate,kimi,kimi-k2.7-code,prompt_variant,skillops,unsupported_success_claim_rate,0.041667,1,24,,results\experiments\raw\constraint_20260625T060926Z.jsonl
constraint_compliance_rate,kimi,kimi-k2.7-code,prompt_variant,skillops,constraint_compliance_rate,0.458333,11,24,,results\experiments\raw\constraint_20260625T060926Z.jsonl
constraint_compliance_rate,kimi,kimi-k2.7-code,prompt_variant,vague,violation_rate,0.500000,12,24,,results\experiments\raw\constraint_20260625T060926Z.jsonl
constraint_compliance_rate,kimi,kimi-k2.7-code,prompt_variant,vague,safe_handling_rate,0.583333,14,24,,results\experiments\raw\constraint_20260625T060926Z.jsonl
constraint_compliance_rate,kimi,kimi-k2.7-code,prompt_variant,vague,unsupported_success_claim_rate,0.125000,3,24,,results\experiments\raw\constraint_20260625T060926Z.jsonl
constraint_compliance_rate,kimi,kimi-k2.7-code,prompt_variant,vague,constraint_compliance_rate,0.500000,12,24,,results\experiments\raw\constraint_20260625T060926Z.jsonl
memory_drift_detection,deepseek,deepseek-v4-flash,condition,full_skillops_memory_policy,stale_info_usage_rate,0.000000,0,22,,results\experiments\raw\memory_drift_20260625T054747Z.jsonl
memory_drift_detection,deepseek,deepseek-v4-flash,condition,full_skillops_memory_policy,current_instruction_adherence_rate,1.000000,22,22,,results\experiments\raw\memory_drift_20260625T054747Z.jsonl
memory_drift_detection,deepseek,deepseek-v4-flash,condition,full_skillops_memory_policy,correct_forgetting_rate,1.000000,22,22,,results\experiments\raw\memory_drift_20260625T054747Z.jsonl
memory_drift_detection,deepseek,deepseek-v4-flash,condition,full_skillops_memory_policy,conflict_resolution_success_rate,0.954545,21,22,,results\experiments\raw\memory_drift_20260625T054747Z.jsonl
memory_drift_detection,deepseek,deepseek-v4-flash,condition,full_skillops_memory_policy,unsupported_memory_claim_rate,0.000000,0,22,,results\experiments\raw\memory_drift_20260625T054747Z.jsonl
memory_drift_detection,deepseek,deepseek-v4-flash,condition,no_forgetting_policy,stale_info_usage_rate,0.000000,0,22,,results\experiments\raw\memory_drift_20260625T054747Z.jsonl
memory_drift_detection,deepseek,deepseek-v4-flash,condition,no_forgetting_policy,current_instruction_adherence_rate,1.000000,22,22,,results\experiments\raw\memory_drift_20260625T054747Z.jsonl
memory_drift_detection,deepseek,deepseek-v4-flash,condition,no_forgetting_policy,correct_forgetting_rate,0.000000,0,22,,results\experiments\raw\memory_drift_20260625T054747Z.jsonl
memory_drift_detection,deepseek,deepseek-v4-flash,condition,no_forgetting_policy,conflict_resolution_success_rate,0.090909,2,22,,results\experiments\raw\memory_drift_20260625T054747Z.jsonl
memory_drift_detection,deepseek,deepseek-v4-flash,condition,no_forgetting_policy,unsupported_memory_claim_rate,0.000000,0,22,,results\experiments\raw\memory_drift_20260625T054747Z.jsonl
memory_drift_detection,deepseek,deepseek-v4-flash,condition,current_context_only,stale_info_usage_rate,0.000000,0,22,,results\experiments\raw\memory_drift_20260625T054747Z.jsonl
memory_drift_detection,deepseek,deepseek-v4-flash,condition,current_context_only,current_instruction_adherence_rate,0.954545,21,22,,results\experiments\raw\memory_drift_20260625T054747Z.jsonl
memory_drift_detection,deepseek,deepseek-v4-flash,condition,current_context_only,correct_forgetting_rate,0.000000,0,22,,results\experiments\raw\memory_drift_20260625T054747Z.jsonl
memory_drift_detection,deepseek,deepseek-v4-flash,condition,current_context_only,conflict_resolution_success_rate,0.000000,0,22,,results\experiments\raw\memory_drift_20260625T054747Z.jsonl
memory_drift_detection,deepseek,deepseek-v4-flash,condition,current_context_only,unsupported_memory_claim_rate,0.000000,0,22,,results\experiments\raw\memory_drift_20260625T054747Z.jsonl
memory_drift_detection,kimi,kimi-k2.7-code,condition,full_skillops_memory_policy,stale_info_usage_rate,0.000000,0,22,,results\experiments\raw\memory_drift_20260625T063033Z.jsonl
memory_drift_detection,kimi,kimi-k2.7-code,condition,full_skillops_memory_policy,current_instruction_adherence_rate,1.000000,22,22,,results\experiments\raw\memory_drift_20260625T063033Z.jsonl
