case_id,artifact_id,study_family,case_type,annotator_a_expected_behavior,annotator_b_expected_behavior,annotator_a_risk_label,annotator_b_risk_label,expected_behavior_disagreement,risk_label_disagreement,adjudicator_id,adjudicated_expected_behavior,adjudicated_risk_label,adjudication_reason,adjudication_status
ext-art-063-bnd,ext-art-063,agent_skills,boundary_clarification,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-063-neg,ext-art-063,agent_skills,negative_trigger,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-063-pos,ext-art-063,agent_skills,positive_trigger,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-063-risk,ext-art-063,agent_skills,risk_constraint,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-067-bnd,ext-art-067,agent_skills,boundary_clarification,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-067-neg,ext-art-067,agent_skills,negative_trigger,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-067-pos,ext-art-067,agent_skills,positive_trigger,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-067-risk,ext-art-067,agent_skills,risk_constraint,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-070-bnd,ext-art-070,agent_skills,boundary_clarification,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-070-neg,ext-art-070,agent_skills,negative_trigger,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-070-pos,ext-art-070,agent_skills,positive_trigger,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-070-risk,ext-art-070,agent_skills,risk_constraint,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-073-bnd,ext-art-073,agent_skills,boundary_clarification,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-073-neg,ext-art-073,agent_skills,negative_trigger,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-073-pos,ext-art-073,agent_skills,positive_trigger,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-073-risk,ext-art-073,agent_skills,risk_constraint,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-079-bnd,ext-art-079,agent_skills,boundary_clarification,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-079-neg,ext-art-079,agent_skills,negative_trigger,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-079-pos,ext-art-079,agent_skills,positive_trigger,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-079-risk,ext-art-079,agent_skills,risk_constraint,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-080-bnd,ext-art-080,agent_skills,boundary_clarification,,,,,false,false,,,,,not_ready_pending_independent_labels
ext-art-080-neg,ext-art-080,agent_skills,negative_trigger,,,,,false,false,,,,,not_ready_pending_independent_labels
