artifact_id,study_family,source_id,source_name,source_url,source_version,artifact_reference,selection_status,selection_basis,case_count,condition_evaluation_count,license_policy,content_boundary
ext-art-001,agent_skills,anthropics-skills,Anthropic public skills repository,https://github.com/anthropics/skills,57546260929473d4e0d1c1bb75297be2fdfa1949,skills/algorithmic-art,metadata_candidate,skill_package_directory,4,12,Record license status before copying text; keep metadata-only cases when reuse is unclear.,metadata_only_no_third_party_prose_or_code_copied
ext-art-002,agent_skills,anthropics-skills,Anthropic public skills repository,https://github.com/anthropics/skills,57546260929473d4e0d1c1bb75297be2fdfa1949,skills/brand-guidelines,metadata_candidate,skill_package_directory,4,12,Record license status before copying text; keep metadata-only cases when reuse is unclear.,metadata_only_no_third_party_prose_or_code_copied
ext-art-003,agent_skills,anthropics-skills,Anthropic public skills repository,https://github.com/anthropics/skills,57546260929473d4e0d1c1bb75297be2fdfa1949,skills/canvas-design,metadata_candidate,skill_package_directory,4,12,Record license status before copying text; keep metadata-only cases when reuse is unclear.,metadata_only_no_third_party_prose_or_code_copied
ext-art-004,agent_skills,anthropics-skills,Anthropic public skills repository,https://github.com/anthropics/skills,57546260929473d4e0d1c1bb75297be2fdfa1949,skills/claude-api,metadata_candidate,skill_package_directory,4,12,Record license status before copying text; keep metadata-only cases when reuse is unclear.,metadata_only_no_third_party_prose_or_code_copied
ext-art-005,agent_skills,anthropics-skills,Anthropic public skills repository,https://github.com/anthropics/skills,57546260929473d4e0d1c1bb75297be2fdfa1949,skills/doc-coauthoring,metadata_candidate,skill_package_directory,4,12,Record license status before copying text; keep metadata-only cases when reuse is unclear.,metadata_only_no_third_party_prose_or_code_copied
ext-art-006,agent_skills,anthropics-skills,Anthropic public skills repository,https://github.com/anthropics/skills,57546260929473d4e0d1c1bb75297be2fdfa1949,skills/docx,metadata_candidate,skill_package_directory,4,12,Record license status before copying text; keep metadata-only cases when reuse is unclear.,metadata_only_no_third_party_prose_or_code_copied
ext-art-007,agent_skills,anthropics-skills,Anthropic public skills repository,https://github.com/anthropics/skills,57546260929473d4e0d1c1bb75297be2fdfa1949,skills/frontend-design,metadata_candidate,skill_package_directory,4,12,Record license status before copying text; keep metadata-only cases when reuse is unclear.,metadata_only_no_third_party_prose_or_code_copied
ext-art-008,agent_skills,anthropics-skills,Anthropic public skills repository,https://github.com/anthropics/skills,57546260929473d4e0d1c1bb75297be2fdfa1949,skills/internal-comms,metadata_candidate,skill_package_directory,4,12,Record license status before copying text; keep metadata-only cases when reuse is unclear.,metadata_only_no_third_party_prose_or_code_copied
ext-art-009,agent_skills,anthropics-skills,Anthropic public skills repository,https://github.com/anthropics/skills,57546260929473d4e0d1c1bb75297be2fdfa1949,skills/mcp-builder,metadata_candidate,skill_package_directory,4,12,Record license status before copying text; keep metadata-only cases when reuse is unclear.,metadata_only_no_third_party_prose_or_code_copied
ext-art-010,agent_skills,anthropics-skills,Anthropic public skills repository,https://github.com/anthropics/skills,57546260929473d4e0d1c1bb75297be2fdfa1949,skills/pdf,metadata_candidate,skill_package_directory,4,12,Record license status before copying text; keep metadata-only cases when reuse is unclear.,metadata_only_no_third_party_prose_or_code_copied
ext-art-011,agent_skills,anthropics-skills,Anthropic public skills repository,https://github.com/anthropics/skills,57546260929473d4e0d1c1bb75297be2fdfa1949,skills/pptx,metadata_candidate,skill_package_directory,4,12,Record license status before copying text; keep metadata-only cases when reuse is unclear.,metadata_only_no_third_party_prose_or_code_copied
ext-art-012,agent_skills,anthropics-skills,Anthropic public skills repository,https://github.com/anthropics/skills,57546260929473d4e0d1c1bb75297be2fdfa1949,skills/skill-creator,metadata_candidate,skill_package_directory,4,12,Record license status before copying text; keep metadata-only cases when reuse is unclear.,metadata_only_no_third_party_prose_or_code_copied
ext-art-013,agent_skills,anthropics-skills,Anthropic public skills repository,https://github.com/anthropics/skills,57546260929473d4e0d1c1bb75297be2fdfa1949,skills/slack-gif-creator,metadata_candidate,skill_package_directory,4,12,Record license status before copying text; keep metadata-only cases when reuse is unclear.,metadata_only_no_third_party_prose_or_code_copied
ext-art-014,agent_skills,anthropics-skills,Anthropic public skills repository,https://github.com/anthropics/skills,57546260929473d4e0d1c1bb75297be2fdfa1949,skills/theme-factory,metadata_candidate,skill_package_directory,4,12,Record license status before copying text; keep metadata-only cases when reuse is unclear.,metadata_only_no_third_party_prose_or_code_copied
ext-art-015,agent_skills,anthropics-skills,Anthropic public skills repository,https://github.com/anthropics/skills,57546260929473d4e0d1c1bb75297be2fdfa1949,skills/web-artifacts-builder,metadata_candidate,skill_package_directory,4,12,Record license status before copying text; keep metadata-only cases when reuse is unclear.,metadata_only_no_third_party_prose_or_code_copied
ext-art-016,agent_skills,anthropics-skills,Anthropic public skills repository,https://github.com/anthropics/skills,57546260929473d4e0d1c1bb75297be2fdfa1949,skills/webapp-testing,metadata_candidate,skill_package_directory,4,12,Record license status before copying text; keep metadata-only cases when reuse is unclear.,metadata_only_no_third_party_prose_or_code_copied
ext-art-017,agent_skills,anthropics-skills,Anthropic public skills repository,https://github.com/anthropics/skills,57546260929473d4e0d1c1bb75297be2fdfa1949,skills/xlsx,metadata_candidate,skill_package_directory,4,12,Record license status before copying text; keep metadata-only cases when reuse is unclear.,metadata_only_no_third_party_prose_or_code_copied
ext-art-018,agent_skills,anthropics-skills,Anthropic public skills repository,https://github.com/anthropics/skills,57546260929473d4e0d1c1bb75297be2fdfa1949,template,metadata_candidate,skill_package_directory,4,12,Record license status before copying text; keep metadata-only cases when reuse is unclear.,metadata_only_no_third_party_prose_or_code_copied
ext-art-019,agent_skills,anthropics-skills,Anthropic public skills repository,https://github.com/anthropics/skills,57546260929473d4e0d1c1bb75297be2fdfa1949,skills/claude-api/go/managed-agents,metadata_candidate,readme_directory,4,12,Record license status before copying text; keep metadata-only cases when reuse is unclear.,metadata_only_no_third_party_prose_or_code_copied
ext-art-020,agent_skills,anthropics-skills,Anthropic public skills repository,https://github.com/anthropics/skills,57546260929473d4e0d1c1bb75297be2fdfa1949,skills/claude-api/java/managed-agents,metadata_candidate,readme_directory,4,12,Record license status before copying text; keep metadata-only cases when reuse is unclear.,metadata_only_no_third_party_prose_or_code_copied
ext-art-021,agent_skills,anthropics-skills,Anthropic public skills repository,https://github.com/anthropics/skills,57546260929473d4e0d1c1bb75297be2fdfa1949,skills/claude-api/php/managed-agents,metadata_candidate,readme_directory,4,12,Record license status before copying text; keep metadata-only cases when reuse is unclear.,metadata_only_no_third_party_prose_or_code_copied
ext-art-022,agent_skills,anthropics-skills,Anthropic public skills repository,https://github.com/anthropics/skills,57546260929473d4e0d1c1bb75297be2fdfa1949,skills/claude-api/python/claude-api,metadata_candidate,readme_directory,4,12,Record license status before copying text; keep metadata-only cases when reuse is unclear.,metadata_only_no_third_party_prose_or_code_copied
ext-art-023,agent_skills,anthropics-skills,Anthropic public skills repository,https://github.com/anthropics/skills,57546260929473d4e0d1c1bb75297be2fdfa1949,skills/claude-api/python/managed-agents,metadata_candidate,readme_directory,4,12,Record license status before copying text; keep metadata-only cases when reuse is unclear.,metadata_only_no_third_party_prose_or_code_copied
ext-art-024,agent_skills,anthropics-skills,Anthropic public skills repository,https://github.com/anthropics/skills,57546260929473d4e0d1c1bb75297be2fdfa1949,skills/claude-api/ruby/managed-agents,metadata_candidate,readme_directory,4,12,Record license status before copying text; keep metadata-only cases when reuse is unclear.,metadata_only_no_third_party_prose_or_code_copied
ext-art-025,agent_skills,anthropics-skills,Anthropic public skills repository,https://github.com/anthropics/skills,57546260929473d4e0d1c1bb75297be2fdfa1949,skills/claude-api/typescript/claude-api,metadata_candidate,readme_directory,4,12,Record license status before copying text; keep metadata-only cases when reuse is unclear.,metadata_only_no_third_party_prose_or_code_copied
ext-art-026,agent_skills,anthropics-skills,Anthropic public skills repository,https://github.com/anthropics/skills,57546260929473d4e0d1c1bb75297be2fdfa1949,skills/claude-api/typescript/managed-agents,metadata_candidate,readme_directory,4,12,Record license status before copying text; keep metadata-only cases when reuse is unclear.,metadata_only_no_third_party_prose_or_code_copied
ext-art-027,agent_skills,anthropics-skills,Anthropic public skills repository,https://github.com/anthropics/skills,57546260929473d4e0d1c1bb75297be2fdfa1949,skills/algorithmic-art/templates/generator_template.js,metadata_candidate,relevant_tree_path,4,12,Record license status before copying text; keep metadata-only cases when reuse is unclear.,metadata_only_no_third_party_prose_or_code_copied
ext-art-028,agent_skills,anthropics-skills,Anthropic public skills repository,https://github.com/anthropics/skills,57546260929473d4e0d1c1bb75297be2fdfa1949,skills/claude-api/csharp/claude-api.md,metadata_candidate,relevant_tree_path,4,12,Record license status before copying text; keep metadata-only cases when reuse is unclear.,metadata_only_no_third_party_prose_or_code_copied
ext-art-029,agent_skills,anthropics-skills,Anthropic public skills repository,https://github.com/anthropics/skills,57546260929473d4e0d1c1bb75297be2fdfa1949,skills/claude-api/curl/examples.md,metadata_candidate,relevant_tree_path,4,12,Record license status before copying text; keep metadata-only cases when reuse is unclear.,metadata_only_no_third_party_prose_or_code_copied
ext-art-030,agent_skills,anthropics-skills,Anthropic public skills repository,https://github.com/anthropics/skills,57546260929473d4e0d1c1bb75297be2fdfa1949,skills/claude-api/curl/managed-agents.md,metadata_candidate,relevant_tree_path,4,12,Record license status before copying text; keep metadata-only cases when reuse is unclear.,metadata_only_no_third_party_prose_or_code_copied
ext-art-031,agent_skills,anthropics-skills,Anthropic public skills repository,https://github.com/anthropics/skills,57546260929473d4e0d1c1bb75297be2fdfa1949,skills/claude-api/go/claude-api.md,metadata_candidate,relevant_tree_path,4,12,Record license status before copying text; keep metadata-only cases when reuse is unclear.,metadata_only_no_third_party_prose_or_code_copied
ext-art-032,agent_skills,anthropics-skills,Anthropic public skills repository,https://github.com/anthropics/skills,57546260929473d4e0d1c1bb75297be2fdfa1949,skills/claude-api/java/claude-api.md,metadata_candidate,relevant_tree_path,4,12,Record license status before copying text; keep metadata-only cases when reuse is unclear.,metadata_only_no_third_party_prose_or_code_copied
ext-art-033,agent_skills,anthropics-skills,Anthropic public skills repository,https://github.com/anthropics/skills,57546260929473d4e0d1c1bb75297be2fdfa1949,skills/claude-api/php/claude-api.md,metadata_candidate,relevant_tree_path,4,12,Record license status before copying text; keep metadata-only cases when reuse is unclear.,metadata_only_no_third_party_prose_or_code_copied
ext-art-034,agent_skills,anthropics-skills,Anthropic public skills repository,https://github.com/anthropics/skills,57546260929473d4e0d1c1bb75297be2fdfa1949,skills/claude-api/python/claude-api/batches.md,metadata_candidate,relevant_tree_path,4,12,Record license status before copying text; keep metadata-only cases when reuse is unclear.,metadata_only_no_third_party_prose_or_code_copied
ext-art-035,agent_skills,anthropics-skills,Anthropic public skills repository,https://github.com/anthropics/skills,57546260929473d4e0d1c1bb75297be2fdfa1949,skills/claude-api/python/claude-api/files-api.md,metadata_candidate,relevant_tree_path,4,12,Record license status before copying text; keep metadata-only cases when reuse is unclear.,metadata_only_no_third_party_prose_or_code_copied
ext-art-036,agent_skills,anthropics-skills,Anthropic public skills repository,https://github.com/anthropics/skills,57546260929473d4e0d1c1bb75297be2fdfa1949,skills/claude-api/python/claude-api/streaming.md,metadata_candidate,relevant_tree_path,4,12,Record license status before copying text; keep metadata-only cases when reuse is unclear.,metadata_only_no_third_party_prose_or_code_copied
ext-art-037,agent_skills,anthropics-skills,Anthropic public skills repository,https://github.com/anthropics/skills,57546260929473d4e0d1c1bb75297be2fdfa1949,skills/claude-api/python/claude-api/tool-use.md,metadata_candidate,relevant_tree_path,4,12,Record license status before copying text; keep metadata-only cases when reuse is unclear.,metadata_only_no_third_party_prose_or_code_copied
ext-art-038,agent_skills,anthropics-skills,Anthropic public skills repository,https://github.com/anthropics/skills,57546260929473d4e0d1c1bb75297be2fdfa1949,skills/claude-api/ruby/claude-api.md,metadata_candidate,relevant_tree_path,4,12,Record license status before copying text; keep metadata-only cases when reuse is unclear.,metadata_only_no_third_party_prose_or_code_copied
ext-art-039,agent_skills,anthropics-skills,Anthropic public skills repository,https://github.com/anthropics/skills,57546260929473d4e0d1c1bb75297be2fdfa1949,skills/claude-api/shared/agent-design.md,metadata_candidate,relevant_tree_path,4,12,Record license status before copying text; keep metadata-only cases when reuse is unclear.,metadata_only_no_third_party_prose_or_code_copied
ext-art-040,agent_skills,anthropics-skills,Anthropic public skills repository,https://github.com/anthropics/skills,57546260929473d4e0d1c1bb75297be2fdfa1949,skills/claude-api/shared/anthropic-cli.md,metadata_candidate,relevant_tree_path,4,12,Record license status before copying text; keep metadata-only cases when reuse is unclear.,metadata_only_no_third_party_prose_or_code_copied
ext-art-041,agent_skills,anthropics-skills,Anthropic public skills repository,https://github.com/anthropics/skills,57546260929473d4e0d1c1bb75297be2fdfa1949,skills/claude-api/shared/claude-platform-on-aws.md,metadata_candidate,relevant_tree_path,4,12,Record license status before copying text; keep metadata-only cases when reuse is unclear.,metadata_only_no_third_party_prose_or_code_copied
