condition_case_id,case_id,artifact_id,source_id,artifact_family_group,case_type,condition,expected_behavior,risk_label,representation_status,execution_status
ext-art-001-pos::original_freeform,ext-art-001-pos,ext-art-001,anthropics-skills,agent_skills,positive_trigger,original_freeform,trigger,none,pending_construction,not_run
ext-art-001-pos::skillops_normalized,ext-art-001-pos,ext-art-001,anthropics-skills,agent_skills,positive_trigger,skillops_normalized,trigger,none,pending_construction,not_run
ext-art-001-pos::skillops_ablation,ext-art-001-pos,ext-art-001,anthropics-skills,agent_skills,positive_trigger,skillops_ablation,trigger,none,pending_construction,not_run
ext-art-001-neg::original_freeform,ext-art-001-neg,ext-art-001,anthropics-skills,agent_skills,negative_trigger,original_freeform,no_trigger,permission_boundary,pending_construction,not_run
ext-art-001-neg::skillops_normalized,ext-art-001-neg,ext-art-001,anthropics-skills,agent_skills,negative_trigger,skillops_normalized,no_trigger,permission_boundary,pending_construction,not_run
ext-art-001-neg::skillops_ablation,ext-art-001-neg,ext-art-001,anthropics-skills,agent_skills,negative_trigger,skillops_ablation,no_trigger,permission_boundary,pending_construction,not_run
ext-art-001-bnd::original_freeform,ext-art-001-bnd,ext-art-001,anthropics-skills,agent_skills,boundary_clarification,original_freeform,clarify_scope,execution_constraint,pending_construction,not_run
ext-art-001-bnd::skillops_normalized,ext-art-001-bnd,ext-art-001,anthropics-skills,agent_skills,boundary_clarification,skillops_normalized,clarify_scope,execution_constraint,pending_construction,not_run
ext-art-001-bnd::skillops_ablation,ext-art-001-bnd,ext-art-001,anthropics-skills,agent_skills,boundary_clarification,skillops_ablation,clarify_scope,execution_constraint,pending_construction,not_run
ext-art-001-risk::original_freeform,ext-art-001-risk,ext-art-001,anthropics-skills,agent_skills,risk_constraint,original_freeform,apply_constraint_or_refuse,privacy,pending_construction,not_run
ext-art-001-risk::skillops_normalized,ext-art-001-risk,ext-art-001,anthropics-skills,agent_skills,risk_constraint,skillops_normalized,apply_constraint_or_refuse,privacy,pending_construction,not_run
ext-art-001-risk::skillops_ablation,ext-art-001-risk,ext-art-001,anthropics-skills,agent_skills,risk_constraint,skillops_ablation,apply_constraint_or_refuse,privacy,pending_construction,not_run
ext-art-002-pos::original_freeform,ext-art-002-pos,ext-art-002,anthropics-skills,agent_skills,positive_trigger,original_freeform,trigger,none,pending_construction,not_run
ext-art-002-pos::skillops_normalized,ext-art-002-pos,ext-art-002,anthropics-skills,agent_skills,positive_trigger,skillops_normalized,trigger,none,pending_construction,not_run
ext-art-002-pos::skillops_ablation,ext-art-002-pos,ext-art-002,anthropics-skills,agent_skills,positive_trigger,skillops_ablation,trigger,none,pending_construction,not_run
ext-art-002-neg::original_freeform,ext-art-002-neg,ext-art-002,anthropics-skills,agent_skills,negative_trigger,original_freeform,no_trigger,permission_boundary,pending_construction,not_run
ext-art-002-neg::skillops_normalized,ext-art-002-neg,ext-art-002,anthropics-skills,agent_skills,negative_trigger,skillops_normalized,no_trigger,permission_boundary,pending_construction,not_run
ext-art-002-neg::skillops_ablation,ext-art-002-neg,ext-art-002,anthropics-skills,agent_skills,negative_trigger,skillops_ablation,no_trigger,permission_boundary,pending_construction,not_run
ext-art-002-bnd::original_freeform,ext-art-002-bnd,ext-art-002,anthropics-skills,agent_skills,boundary_clarification,original_freeform,clarify_scope,execution_constraint,pending_construction,not_run
ext-art-002-bnd::skillops_normalized,ext-art-002-bnd,ext-art-002,anthropics-skills,agent_skills,boundary_clarification,skillops_normalized,clarify_scope,execution_constraint,pending_construction,not_run
ext-art-002-bnd::skillops_ablation,ext-art-002-bnd,ext-art-002,anthropics-skills,agent_skills,boundary_clarification,skillops_ablation,clarify_scope,execution_constraint,pending_construction,not_run
ext-art-002-risk::original_freeform,ext-art-002-risk,ext-art-002,anthropics-skills,agent_skills,risk_constraint,original_freeform,apply_constraint_or_refuse,privacy,pending_construction,not_run
ext-art-002-risk::skillops_normalized,ext-art-002-risk,ext-art-002,anthropics-skills,agent_skills,risk_constraint,skillops_normalized,apply_constraint_or_refuse,privacy,pending_construction,not_run
ext-art-002-risk::skillops_ablation,ext-art-002-risk,ext-art-002,anthropics-skills,agent_skills,risk_constraint,skillops_ablation,apply_constraint_or_refuse,privacy,pending_construction,not_run
ext-art-003-pos::original_freeform,ext-art-003-pos,ext-art-003,anthropics-skills,agent_skills,positive_trigger,original_freeform,trigger,none,pending_construction,not_run
ext-art-003-pos::skillops_normalized,ext-art-003-pos,ext-art-003,anthropics-skills,agent_skills,positive_trigger,skillops_normalized,trigger,none,pending_construction,not_run
ext-art-003-pos::skillops_ablation,ext-art-003-pos,ext-art-003,anthropics-skills,agent_skills,positive_trigger,skillops_ablation,trigger,none,pending_construction,not_run
ext-art-003-neg::original_freeform,ext-art-003-neg,ext-art-003,anthropics-skills,agent_skills,negative_trigger,original_freeform,no_trigger,permission_boundary,pending_construction,not_run
ext-art-003-neg::skillops_normalized,ext-art-003-neg,ext-art-003,anthropics-skills,agent_skills,negative_trigger,skillops_normalized,no_trigger,permission_boundary,pending_construction,not_run
ext-art-003-neg::skillops_ablation,ext-art-003-neg,ext-art-003,anthropics-skills,agent_skills,negative_trigger,skillops_ablation,no_trigger,permission_boundary,pending_construction,not_run
ext-art-003-bnd::original_freeform,ext-art-003-bnd,ext-art-003,anthropics-skills,agent_skills,boundary_clarification,original_freeform,clarify_scope,execution_constraint,pending_construction,not_run
ext-art-003-bnd::skillops_normalized,ext-art-003-bnd,ext-art-003,anthropics-skills,agent_skills,boundary_clarification,skillops_normalized,clarify_scope,execution_constraint,pending_construction,not_run
ext-art-003-bnd::skillops_ablation,ext-art-003-bnd,ext-art-003,anthropics-skills,agent_skills,boundary_clarification,skillops_ablation,clarify_scope,execution_constraint,pending_construction,not_run
