condition_group_id,study_family,source_id,case_type,condition,target_evaluations,representation_rule
anthropics-skills::positive_trigger::original_freeform,agent_skills,anthropics-skills,positive_trigger,original_freeform,60,Use the native artifact form or metadata-preserving paraphrase allowed by license.
anthropics-skills::positive_trigger::skillops_normalized,agent_skills,anthropics-skills,positive_trigger,skillops_normalized,60,Represent the same operational content with the SkillOps lifecycle fields.
anthropics-skills::positive_trigger::skillops_ablation,agent_skills,anthropics-skills,positive_trigger,skillops_ablation,60,Remove or weaken one preregistered lifecycle component while preserving task content.
anthropics-skills::negative_trigger::original_freeform,agent_skills,anthropics-skills,negative_trigger,original_freeform,60,Use the native artifact form or metadata-preserving paraphrase allowed by license.
anthropics-skills::negative_trigger::skillops_normalized,agent_skills,anthropics-skills,negative_trigger,skillops_normalized,60,Represent the same operational content with the SkillOps lifecycle fields.
anthropics-skills::negative_trigger::skillops_ablation,agent_skills,anthropics-skills,negative_trigger,skillops_ablation,60,Remove or weaken one preregistered lifecycle component while preserving task content.
anthropics-skills::boundary_clarification::original_freeform,agent_skills,anthropics-skills,boundary_clarification,original_freeform,60,Use the native artifact form or metadata-preserving paraphrase allowed by license.
anthropics-skills::boundary_clarification::skillops_normalized,agent_skills,anthropics-skills,boundary_clarification,skillops_normalized,60,Represent the same operational content with the SkillOps lifecycle fields.
anthropics-skills::boundary_clarification::skillops_ablation,agent_skills,anthropics-skills,boundary_clarification,skillops_ablation,60,Remove or weaken one preregistered lifecycle component while preserving task content.
anthropics-skills::risk_constraint::original_freeform,agent_skills,anthropics-skills,risk_constraint,original_freeform,60,Use the native artifact form or metadata-preserving paraphrase allowed by license.
anthropics-skills::risk_constraint::skillops_normalized,agent_skills,anthropics-skills,risk_constraint,skillops_normalized,60,Represent the same operational content with the SkillOps lifecycle fields.
anthropics-skills::risk_constraint::skillops_ablation,agent_skills,anthropics-skills,risk_constraint,skillops_ablation,60,Remove or weaken one preregistered lifecycle component while preserving task content.
voltagent-awesome::positive_trigger::original_freeform,agent_skills,voltagent-awesome,positive_trigger,original_freeform,20,Use the native artifact form or metadata-preserving paraphrase allowed by license.
voltagent-awesome::positive_trigger::skillops_normalized,agent_skills,voltagent-awesome,positive_trigger,skillops_normalized,20,Represent the same operational content with the SkillOps lifecycle fields.
voltagent-awesome::positive_trigger::skillops_ablation,agent_skills,voltagent-awesome,positive_trigger,skillops_ablation,20,Remove or weaken one preregistered lifecycle component while preserving task content.
voltagent-awesome::negative_trigger::original_freeform,agent_skills,voltagent-awesome,negative_trigger,original_freeform,20,Use the native artifact form or metadata-preserving paraphrase allowed by license.
voltagent-awesome::negative_trigger::skillops_normalized,agent_skills,voltagent-awesome,negative_trigger,skillops_normalized,20,Represent the same operational content with the SkillOps lifecycle fields.
voltagent-awesome::negative_trigger::skillops_ablation,agent_skills,voltagent-awesome,negative_trigger,skillops_ablation,20,Remove or weaken one preregistered lifecycle component while preserving task content.
voltagent-awesome::boundary_clarification::original_freeform,agent_skills,voltagent-awesome,boundary_clarification,original_freeform,20,Use the native artifact form or metadata-preserving paraphrase allowed by license.
voltagent-awesome::boundary_clarification::skillops_normalized,agent_skills,voltagent-awesome,boundary_clarification,skillops_normalized,20,Represent the same operational content with the SkillOps lifecycle fields.
voltagent-awesome::boundary_clarification::skillops_ablation,agent_skills,voltagent-awesome,boundary_clarification,skillops_ablation,20,Remove or weaken one preregistered lifecycle component while preserving task content.
voltagent-awesome::risk_constraint::original_freeform,agent_skills,voltagent-awesome,risk_constraint,original_freeform,20,Use the native artifact form or metadata-preserving paraphrase allowed by license.
voltagent-awesome::risk_constraint::skillops_normalized,agent_skills,voltagent-awesome,risk_constraint,skillops_normalized,20,Represent the same operational content with the SkillOps lifecycle fields.
voltagent-awesome::risk_constraint::skillops_ablation,agent_skills,voltagent-awesome,risk_constraint,skillops_ablation,20,Remove or weaken one preregistered lifecycle component while preserving task content.
mcp-reference-servers::positive_trigger::original_freeform,mcp_and_tool_recipes,mcp-reference-servers,positive_trigger,original_freeform,40,Use the native artifact form or metadata-preserving paraphrase allowed by license.
mcp-reference-servers::positive_trigger::skillops_normalized,mcp_and_tool_recipes,mcp-reference-servers,positive_trigger,skillops_normalized,40,Represent the same operational content with the SkillOps lifecycle fields.
mcp-reference-servers::positive_trigger::skillops_ablation,mcp_and_tool_recipes,mcp-reference-servers,positive_trigger,skillops_ablation,40,Remove or weaken one preregistered lifecycle component while preserving task content.
mcp-reference-servers::negative_trigger::original_freeform,mcp_and_tool_recipes,mcp-reference-servers,negative_trigger,original_freeform,40,Use the native artifact form or metadata-preserving paraphrase allowed by license.
mcp-reference-servers::negative_trigger::skillops_normalized,mcp_and_tool_recipes,mcp-reference-servers,negative_trigger,skillops_normalized,40,Represent the same operational content with the SkillOps lifecycle fields.
mcp-reference-servers::negative_trigger::skillops_ablation,mcp_and_tool_recipes,mcp-reference-servers,negative_trigger,skillops_ablation,40,Remove or weaken one preregistered lifecycle component while preserving task content.
mcp-reference-servers::boundary_clarification::original_freeform,mcp_and_tool_recipes,mcp-reference-servers,boundary_clarification,original_freeform,40,Use the native artifact form or metadata-preserving paraphrase allowed by license.
mcp-reference-servers::boundary_clarification::skillops_normalized,mcp_and_tool_recipes,mcp-reference-servers,boundary_clarification,skillops_normalized,40,Represent the same operational content with the SkillOps lifecycle fields.
