replacement_for,source_id,source_owner,ecosystem,study_family,preferred_stratum,replacement_reason,replacement_status,replacement_artifact_id
ext-art-001,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|skill_package_directory,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-002,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|skill_package_directory,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-003,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|skill_package_directory,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-004,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|skill_package_directory,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-005,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|skill_package_directory,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-006,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|skill_package_directory,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-007,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|skill_package_directory,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-008,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|skill_package_directory,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-009,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|skill_package_directory,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-010,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|skill_package_directory,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-011,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|skill_package_directory,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-012,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|skill_package_directory,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-013,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|skill_package_directory,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-014,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|skill_package_directory,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-015,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|skill_package_directory,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-016,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|skill_package_directory,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-017,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|skill_package_directory,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-018,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|skill_package_directory,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-019,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|readme_directory,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-020,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|readme_directory,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-021,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|readme_directory,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-022,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|readme_directory,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-023,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|readme_directory,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-024,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|readme_directory,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-025,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|readme_directory,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-026,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|readme_directory,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-027,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-028,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-029,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-030,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-031,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-032,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-033,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-034,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-035,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-036,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-037,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-038,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-039,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
ext-art-040,anthropics-skills,anthropics,anthropic,agent_skills,agent_skills|anthropic|anthropics|relevant_tree_path,source_or_owner_cap_pressure,pending_replacement_or_corpus_expansion,
